,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
888,2023-07-14,174.6672649282965,171.9793116998682,188.4862789413538,174.6672649282965,174.6672649282965,5.748345893260248,5.748345893260248,5.748345893260248,-0.11885928618583616,-0.11885928618583616,-0.11885928618583616,5.867205179446084,5.867205179446084,5.867205179446084,0.0,0.0,0.0,180.41561082155675
889,2023-07-17,175.0160135097939,172.9567038339319,190.47390670711033,175.0160135097939,175.0160135097939,6.799895745589672,6.799895745589672,6.799895745589672,0.18465937812684874,0.18465937812684874,0.18465937812684874,6.615236367462823,6.615236367462823,6.615236367462823,0.0,0.0,0.0,181.8159092553836
890,2023-07-18,175.13226303695967,172.75354327487386,190.30424746035825,175.13226303695967,175.13226303695967,6.869709264741389,6.869709264741389,6.869709264741389,0.047452810648339595,0.047452810648339595,0.047452810648339595,6.822256454093049,6.822256454093049,6.822256454093049,0.0,0.0,0.0,182.00197230170107
891,2023-07-19,175.2485125641255,173.3165892983664,192.00469952321603,175.2485125641255,175.2485125641255,7.14420933017167,7.14420933017167,7.14420933017167,0.13679359815379943,0.13679359815379943,0.13679359815379943,7.00741573201787,7.00741573201787,7.00741573201787,0.0,0.0,0.0,182.39272189429715
892,2023-07-20,175.36476209129128,174.4380275531394,191.27677641123907,175.36476209129128,175.36476209129128,7.122272812575145,7.122272812575145,7.122272812575145,-0.048585546531824106,-0.048585546531824106,-0.048585546531824106,7.170858359106969,7.170858359106969,7.170858359106969,0.0,0.0,0.0,182.48703490386643
893,2023-07-21,175.48101161845707,174.40692895842162,191.75232517166268,175.48101161845707,175.48101161845707,7.194249170641957,7.194249170641957,7.194249170641957,-0.11885928618542049,-0.11885928618542049,-0.11885928618542049,7.3131084568273765,7.3131084568273765,7.3131084568273765,0.0,0.0,0.0,182.67526078909904
894,2023-07-24,175.82976019995445,175.01053562955775,192.21681777272576,175.82976019995445,175.82976019995445,7.808099648563188,7.808099648563188,7.808099648563188,0.1846593781265753,0.1846593781265753,0.1846593781265753,7.623440270436612,7.623440270436612,7.623440270436612,0.0,0.0,0.0,183.63785984851765
895,2023-07-25,175.94600972712027,175.3972090273745,192.48681995928828,175.94600972712027,175.94600972712027,7.740801954720062,7.740801954720062,7.740801954720062,0.047452810648357296,0.047452810648357296,0.047452810648357296,7.693349144071706,7.693349144071706,7.693349144071706,0.0,0.0,0.0,183.68681168184034
896,2023-07-26,176.06225925428606,175.54218030491532,192.43688823891316,176.06225925428606,176.06225925428606,7.8866613788694355,7.8866613788694355,7.8866613788694355,0.1367935981540579,0.1367935981540579,0.1367935981540579,7.749867780715378,7.749867780715378,7.749867780715378,0.0,0.0,0.0,183.9489206331555
897,2023-07-27,176.17850878145185,175.36334560123962,192.66641543812094,176.17850878145185,176.17850878145185,7.746800182079598,7.746800182079598,7.746800182079598,-0.048585546532336876,-0.048585546532336876,-0.048585546532336876,7.795385728611936,7.795385728611936,7.795385728611936,0.0,0.0,0.0,183.92530896353145
898,2023-07-28,176.29475830861765,174.48872416971287,192.32995153545673,176.29475830861765,176.29475830861765,7.713609347491595,7.713609347491595,7.713609347491595,-0.11885928618562192,-0.11885928618562192,-0.11885928618562192,7.832468633677217,7.832468633677217,7.832468633677217,0.0,0.0,0.0,184.00836765610924
899,2023-07-31,176.64350689011502,175.76500968321696,193.5646725381856,176.64350689011502,176.64350689011502,8.104903439391775,8.104903439391775,8.104903439391775,0.18465937812666655,0.18465937812666655,0.18465937812666655,7.920244061265108,7.920244061265108,7.920244061265108,0.0,0.0,0.0,184.74841032950678
900,2023-08-01,176.7597564172808,175.8687005276471,193.2120871257251,176.7597564172808,176.7597564172808,7.998251837207716,7.998251837207716,7.998251837207716,0.04745281064821038,0.04745281064821038,0.04745281064821038,7.950799026559506,7.950799026559506,7.950799026559506,0.0,0.0,0.0,184.75800825448852
901,2023-08-02,176.8760059444466,176.59995866258166,194.32234011703724,176.8760059444466,176.8760059444466,8.123175886853337,8.123175886853337,8.123175886853337,0.13679359815350295,0.13679359815350295,0.13679359815350295,7.986382288699835,7.986382288699835,7.986382288699835,0.0,0.0,0.0,184.99918183129995
902,2023-08-03,176.99225547161242,175.97112066308785,194.12107735332197,176.99225547161242,176.99225547161242,7.980796255315775,7.980796255315775,7.980796255315775,-0.04858554653171333,-0.04858554653171333,-0.04858554653171333,8.029381801847489,8.029381801847489,8.029381801847489,0.0,0.0,0.0,184.9730517269282
903,2023-08-04,177.1085049987782,176.57196033673858,193.66099917105768,177.1085049987782,177.1085049987782,7.963080644414972,7.963080644414972,7.963080644414972,-0.11885928618548769,-0.11885928618548769,-0.11885928618548769,8.08193993060046,8.08193993060046,8.08193993060046,0.0,0.0,0.0,185.07158564319315
904,2023-08-07,177.4572535802756,177.24964660626924,194.80163170614583,177.4572535802756,177.4572535802756,8.498196201112194,8.498196201112194,8.498196201112194,0.18465937812664782,0.18465937812664782,0.18465937812664782,8.313536822985546,8.313536822985546,8.313536822985546,0.0,0.0,0.0,185.95544978138778
905,2023-08-08,177.57350310744138,176.81102942140438,195.44806788221203,177.57350310744138,177.57350310744138,8.46639424543783,8.46639424543783,8.46639424543783,0.0474528106482281,0.0474528106482281,0.0474528106482281,8.4189414347896,8.4189414347896,8.4189414347896,0.0,0.0,0.0,186.03989735287922
906,2023-08-09,177.6897526346072,177.5086616124749,194.95458784157483,177.6897526346072,177.6897526346072,8.675905935565073,8.675905935565073,8.675905935565073,0.13679359815406794,0.13679359815406794,0.13679359815406794,8.539112337411005,8.539112337411005,8.539112337411005,0.0,0.0,0.0,186.3656585701723
907,2023-08-10,177.80600216177297,177.58132314231258,194.49604964545054,177.80600216177297,177.80600216177297,8.625129232311282,8.625129232311282,8.625129232311282,-0.04858554653222611,-0.04858554653222611,-0.04858554653222611,8.67371477884351,8.67371477884351,8.67371477884351,0.0,0.0,0.0,186.43113139408425
908,2023-08-11,177.9222516889388,177.91784587790875,195.40258907904212,177.9222516889388,177.9222516889388,8.70304205511501,8.70304205511501,8.70304205511501,-0.11885928618568911,-0.11885928618568911,-0.11885928618568911,8.821901341300698,8.821901341300698,8.821901341300698,0.0,0.0,0.0,186.6252937440538
909,2023-08-14,178.27100027043616,178.95312817790239,196.7910249141903,178.27100027043616,178.27100027043616,9.51644891143958,9.51644891143958,9.51644891143958,0.18465937812684904,0.18465937812684904,0.18465937812684904,9.331789533312731,9.331789533312731,9.331789533312731,0.0,0.0,0.0,187.78744918187573
910,2023-08-15,178.38724979760195,178.57466157590227,195.95240549804493,178.38724979760195,178.38724979760195,9.563115855748405,9.563115855748405,9.563115855748405,0.04745281064835467,0.04745281064835467,0.04745281064835467,9.515663045100052,9.515663045100052,9.515663045100052,0.0,0.0,0.0,187.95036565335036
911,2023-08-16,178.50349932476772,179.62683047292074,197.35511835615574,178.50349932476772,178.50349932476772,9.838212386908868,9.838212386908868,9.838212386908868,0.13679359815351302,0.13679359815351302,0.13679359815351302,9.701418788755356,9.701418788755356,9.701418788755356,0.0,0.0,0.0,188.3417117116766
912,2023-08-17,178.61974885193354,179.3488590859072,196.99817370368547,178.61974885193354,178.61974885193354,9.836829390373618,9.836829390373618,9.836829390373618,-0.04858554653273887,-0.04858554653273887,-0.04858554653273887,9.885414936906356,9.885414936906356,9.885414936906356,0.0,0.0,0.0,188.45657824230716
913,2023-08-18,178.73599837909933,180.1512269049261,198.0563718480057,178.73599837909933,178.73599837909933,9.94482717954694,9.94482717954694,9.94482717954694,-0.11885928618527343,-0.11885928618527343,-0.11885928618527343,10.06368646573221,10.06368646573221,10.06368646573221,0.0,0.0,0.0,188.68082555864626
914,2023-08-21,179.08474696059673,181.5747504618245,197.48069044440277,179.08474696059673,179.08474696059673,10.705735461401902,10.705735461401902,10.705735461401902,0.1846593781268303,0.1846593781268303,0.1846593781268303,10.521076083275071,10.521076083275071,10.521076083275071,0.0,0.0,0.0,189.79048242199863
